Wellness Room,Gotham Office,Basement,(none),0,0,-1,America/New_York
4WD Cafe,Gotham Office (3),51st Floor,Conference Style,0,0,150,America/New_York
74A Boardroom,Gotham Office (2),74th Floor,Conference Style,0,0,16,America/New_York
Alamagne,Frankfurt Office,18th Floor,Conference Style,15,0,8,Europe/Warsaw
Altitude,Seoul Office,36th floor,Conference Style,15,0,5,Asia/Tokyo
Ames,San Francisco Office,50th Floor,Conference Style,15,0,7,US/Pacific
Appel,Sydney Office,39th floor,Conference Style,15,0,8,Australia/Sydney
Apple,Beijing Office,41st Floor,Conference Style,15,0,10,Asia/Hong_Kong
Applik,Houston Office,72nd Floor,Conference Style,0,0,7,America/Chicago
Arlington,London Office (3),6th Floor,Conference Style,15,0,4,Europe/London
Assignment Office,Houston Office,(none),Standard Office,0,0,1,America/Chicago
Assignment Office,Beijing Office,(none),Standard Office,0,0,1,Asia/Hong_Kong
Assignment Office,Dubai Office,(none),Standard Office,0,0,1,Asia/Muscat
Assignment Office,Dublin Office,(none),Standard Office,0,0,1,Europe/London
Assignment Office,Hong Kong Office,(none),Standard Office,0,0,1,Asia/Hong_Kong
Assignment Office,Tokyo Office,(none),Standard Office,0,0,1,Asia/Tokyo
Assignment Office,Madrid Office,(none),Standard Office,0,0,1,Europe/Brussels
Assignment Office,San Fransisco Office (2),(none),Standard Office,0,0,1,US/Pacific
Assignment Office,Paris Office,(none),Standard Office,0,0,1,Europe/Brussels
Assignment Office,San Francisco Office,(none),Standard Office,0,0,1,US/Pacific
Assignment Office,Mumbai Office,(none),Standard Office,15,0,1,Asia/Calcutta
Assignment Office,Singapore Office,(none),Standard Office,0,0,1,Asia/Hong_Kong
Assignment Office,Sydney Office,(none),Standard Office,0,0,1,Australia/Sydney
Assignment Office,Sydney Office,(none),Standard Office,0,0,1,Australia/Sydney
Assignment Office,Seoul Office,(none),Standard Office,0,0,1,Asia/Tokyo
Assignment Office,Shanghai Office,43rd Floor,Standard Office,0,0,1,Asia/Hong_Kong
Assignment Office (2),Madrid Office,(none),Standard Office,0,0,1,Europe/Brussels
Assignment Office (2),San Fransisco Office (2),(none),Standard Office,0,0,1,US/Pacific
Assignment Office (2),San Francisco Office,(none),Standard Office,0,0,1,US/Pacific
Assignment Office (2),Mumbai Office,(none),Standard Office,15,0,1,Asia/Calcutta
Assignment Office (2),Shanghai Office,43rd Floor,Standard Office,0,0,1,Asia/Hong_Kong
Asteroid,Mumbai Office,2nd Floor,Conference Style,15,0,6,Asia/Calcutta
AUSA Office,San Francisco Office,51st Floor,Conference Style,0,0,4,US/Pacific
Avocado,Dublin Office,3rd Floor,Conference Style,15,0,8,Europe/London
Beech,Shanghai Office,43rd Floor,Conference Style,15,0,14,Asia/Hong_Kong
Black Hole,Houston Office,71st Floor,Conference Style,0,0,10,America/Chicago
Blackwood,Seoul Office,36th floor,Conference Style,0,0,5,Asia/Tokyo
Blondette,Sydney Office,39th floor,Round Table,0,0,8,Australia/Sydney
Blue,Gurugram Office,6th Floor,(none),15,0,-1,Asia/Calcutta
Board,Seoul Office,36th floor,Conference Style,15,0,22,Asia/Tokyo
Boardroom,Beijing Office,41st Floor,Conference Style,15,0,18,Asia/Hong_Kong
Boardroom,Mumbai Office,2nd Floor,Conference Style,15,0,18,Asia/Calcutta
Boardroom,Singapore Office,33rd Floor,Conference Style,15,0,16,Asia/Hong_Kong
Boardroom,Tokyo Office,11th Floor,Conference Style,15,0,16,Asia/Tokyo
Boardroom,Dublin Office,3rd Floor,Conference Style,15,0,12,Europe/London
Boardroom,Sydney Office,39th floor,Conference Style,15,0,14,Australia/Sydney
Boardroom (6),London Office (3),6th Floor,Conference Style,15,0,20,Europe/London
Bridford,Dublin Office,3rd Floor,Conference Style,15,0,5,Europe/London
C-Suite,Hong Kong Office,56th Floor,Conference Style,15,0,24,Asia/Hong_Kong
C-Suite OFfice,Gotham Office (2),77th Floor,(none),0,0,-1,America/New_York
Cafe,Houston Office,72nd Floor,Conference Style,0,0,80,America/Chicago
Capail,London Office (3),6th Floor,Conference Style,15,0,8,Europe/London
Carambo,Shanghai Office,42nd Floor,Conference Style,15,0,10,Asia/Hong_Kong
Cassandra,Seoul Office,36th floor,Conference Style,15,0,10,Asia/Tokyo
Chai,Mumbai Office,2nd Floor,Conference Style,0,0,3,Asia/Calcutta
Chamberlain,London Office (3),5th Floor,Conference Style,15,0,6,Europe/London
Chappet,Paris Office,3rd Floor,Conference Style,15,0,10,Europe/Brussels
Chepal,Seoul Office,36th floor,Conference Style,15,0,10,Asia/Tokyo
Chimes,London Office (3),6th Floor,Conference Style,15,0,8,Europe/London
Chinfort,Dublin Office,3rd Floor,Conference Style,15,0,8,Europe/London
Chippdale,London Office (3),6th Floor,Conference Style,15,0,8,Europe/London
Circum,Houston Office,72nd Floor,Conference Style,0,0,10,America/Chicago
Circus,London Office (3),5th Floor,Conference Style,15,0,4,Europe/London
Clarette,Paris Office,3rd Floor,Conference Style,15,0,8,Europe/Brussels
Clifford,London Office (3),5th Floor,Conference Style,15,0,12,Europe/London
Collaboration Room,London Office (5),3rd Floor,(none),0,0,-1,Europe/London
Collins,Dubai Office,6th Floor,Conference Style,15,0,8,Asia/Muscat
Conference Room,San Fransisco Office (2),2nd Floor,Conference Style,0,0,8,US/Pacific
Conifer,Shanghai Office,43rd Floor,Conference Style,15,0,18,Asia/Hong_Kong
Corrida de toros,Madrid Office,6th Floor,Conference Style,15,0,6,Europe/Brussels
Courtyard,San Fransisco Office (2),1st Floor,Conference Style,15,0,10,US/Pacific
Creek,Dublin Office,3rd Floor,Conference Style,15,0,10,Europe/London
Custard 07A,London Office (3),7th Floor,Conference Style,0,0,4,Europe/London
Custard 07B,London Office (3),7th Floor,Conference Style,0,0,10,Europe/London
Custard 07C,London Office (3),7th Floor,Conference Style,0,0,4,Europe/London
Custard 08A,London Office (3),8th Floor,Conference Style,0,0,4,Europe/London
Custard 08B,London Office (3),8th Floor,Conference Style,0,0,10,Europe/London
Custard 08C,London Office (3),8th Floor,Conference Style,0,0,4,Europe/London
Cypress,San Francisco Office,51st Floor,Conference Style,15,0,25,US/Pacific
Dallas,San Francisco Office,51st Floor,Conference Style,15,0,4,US/Pacific
Denver,San Francisco Office,51st Floor,Conference Style,15,0,4,US/Pacific
Denver (2),San Francisco Office,51st Floor,Conference Style,15,0,6,US/Pacific
Diamond Room,Hong Kong Office,56th Floor,Conference Style,15,0,16,Asia/Hong_Kong
Dinner Room,San Fransisco Office (2),1st Floor,Conference Style,15,0,32,US/Pacific
